Time,Type,DevAddr,DevEUI,FCnt,RJcount1,Invalid
'2021-09-05 12:03:18.34','Join-Accept','60c923d6',,,,
'2021-09-05 12:03:19.43','Downlink Msg (UC)','00000023',,'000e',,
'2021-09-05 12:03:20.97','Uplink Msg (C)','260b12a3',,'0000',,
'2021-09-05 12:03:26.01','Downlink Msg (UC)','260b12a3',,'0000',,
'2021-09-05 12:04:08.67','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 12:04:17.90','Downlink Msg (UC)','00000012',,'000e',,
'2021-09-05 12:04:24.27','Join-Request',,'75c600000aca2500',,,
'2021-09-05 12:04:29.34','Join-Accept','341fe14c',,,,
'2021-09-05 12:04:32.59','Uplink Msg (C)','260bdc0d',,'0000',,
'2021-09-05 12:04:37.62','Downlink Msg (UC)','260bdc0d',,'0000',,
'2021-09-05 12:05:17.22','Downlink Msg (C)','3f039bab',,'2043',,
'2021-09-05 12:05:25.90','Downlink Msg (UC)','00000018',,'001c',,
'2021-09-05 12:05:31.84','Uplink Msg (C)','260bdc0d',,'0001',,
'2021-09-05 12:05:31.84','Uplink Msg (C)','260bdc0d',,'0001',,
'2021-09-05 12:05:36.89','Downlink Msg (C)','260bdc0d',,'0001',,
'2021-09-05 12:06:31.84','Uplink Msg (C)','260bdc0d',,'0002',,
'2021-09-05 12:06:47.61','Proprietary',,,,,
'2021-09-05 12:07:01.66','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 12:07:29.14','Proprietary',,,,,
'2021-09-05 12:07:31.83','Uplink Msg (C)','260bdc0d',,'0003',,
'2021-09-05 12:07:31.84','Uplink Msg (C)','260bdc0d',,'0003',,
'2021-09-05 12:07:36.87','Downlink Msg (UC)','260bdc0d',,'0003',,
'2021-09-05 12:07:50.46','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 12:08:31.82','Uplink Msg (C)','260bdc0d',,'0004',,
'2021-09-05 12:08:31.85','Uplink Msg (C)','260bdc0d',,'0004',,
'2021-09-05 12:08:36.87','Downlink Msg (UC)','260bdc0d',,'0004',,
'2021-09-05 12:09:31.82','Uplink Msg (C)','260bdc0d',,'0005',,
'2021-09-05 12:09:31.82','Uplink Msg (C)','260bdc0d',,'0005',,
'2021-09-05 12:09:36.86','Downlink Msg (UC)','260bdc0d',,'0005',,
'2021-09-05 12:09:50.15','Join-Request',,'75c600000aca2500',,,
'2021-09-05 12:09:55.22','Join-Accept','92f43052',,,,
'2021-09-05 12:09:57.35','Uplink Msg (C)','260bd485',,'0000',,
'2021-09-05 12:10:02.40','Downlink Msg (UC)','260bd485',,'0000',,
'2021-09-05 12:10:06.63','Join-Request',,'ed3f000000da7f64',,,
