id,packet_parsed
21,"{'MTypeText': 'Join-Request', 'PHYPayload': {'MHDR': {'MType': '000', 'RFU': '101', 'Major': '11'}, 'MIC': 'a36b248b', 'JoinRequest': {'JoinEUI': 'd448db54fb466ae7', 'DevEUI': '790ef4364d04e6ab', 'DevNonce': '8c21'}}, 'ParseMessage': 'Corrupted! Invalid packet size.', 'Lora': {'Freq': '867.9', 'Chan': '7', 'Datr': 'SF7BW125', 'Codr': '4/8'}, 'RAWPacket': '17d448db54fb466ae7790ef4364d04e6ab8c21c230adc3bf84310aac6c77b8f4bdba22c47e0e3c2f623bcc3ffabc2c87d07570e7c5e6c735bbeb12e289d39b86cef3127f1552059e5174c201be6b00a4479001abe1b5f176fee8760410473c5977661d428a04afcbf83b6a75a17b89a36b248b', 'Time': '2021-09-05 11:39:00.35', 'DecryptedData': ''}"
22,"{'MTypeText': 'Join-Request', 'PHYPayload': {'MHDR': {'MType': '000', 'RFU': '000', 'Major': '00'}, 'MIC': 'f62d70f6', 'JoinRequest': {'JoinEUI': '0001001080da7f64', 'DevEUI': 'ed3f000000da7f64', 'DevNonce': '35fb'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.1', 'Chan': '0', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '000001001080da7f64ed3f000000da7f6435fbf62d70f6', 'Time': '2021-09-05 11:39:02.78', 'DecryptedData': ''}"
23,"{'MTypeText': 'Uplink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '100', 'RFU': '000', 'Major': '00'}, 'MIC': '6b0e9cc3', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0004', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '01', 'FRMPayload': '648ab187e660748b2bcb7d'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.7', 'Chan': '6', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '8023050b2680040001648ab187e660748b2bcb7d6b0e9cc3', 'Time': '2021-09-05 11:39:04.49', 'DecryptedData': ''}"
24,"{'MTypeText': 'Uplink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '100', 'RFU': '000', 'Major': '00'}, 'MIC': '6b0e9cc3', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0004', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '01', 'FRMPayload': '648ab187e660748b2bcb7d'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.3', 'Chan': '4', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '8023050b2680040001648ab187e660748b2bcb7d6b0e9cc3', 'Time': '2021-09-05 11:39:04.50', 'DecryptedData': ''}"
25,"{'MTypeText': 'Join-Accept', 'PHYPayload': {'MHDR': {'MType': '001', 'RFU': '000', 'Major': '00'}, 'MIC': 'fe04470e', 'JoinAccept': {'JoinNonce': 'fef47f', 'Home_NetID': 'cfd6b6', 'DevAddr': 'b55a58fd', 'DLSettings': {'OptNeg': '0', 'RX1DRoffset': '100', 'RX2Datarate': '1110'}, 'RxDelay': 'ea', 'CFList': 'e5380fce0c0da35d086a3f2ca0667d96'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.1', 'Chan': '0', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '20fef47fcfd6b6b55a58fd4eeae5380fce0c0da35d086a3f2ca0667d96fe04470e', 'Time': '2021-09-05 11:39:09.59', 'DecryptedData': ''}"
26,"{'MTypeText': 'Uplink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '010', 'RFU': '000', 'Major': '00'}, 'MIC': '2d98ef2a', 'MACPayload': {'FHDR': {'DevAddr': '260baeec', 'FCnt': '0000', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '0a', 'FRMPayload': '471d6eef496398d03a731b'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.3', 'Chan': '4', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '40ecae0b268000000a471d6eef496398d03a731b2d98ef2a', 'Time': '2021-09-05 11:39:25.09', 'DecryptedData': ''}"
27,"{'MTypeText': 'Uplink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '010', 'RFU': '000', 'Major': '00'}, 'MIC': '2d98ef2a', 'MACPayload': {'FHDR': {'DevAddr': '260baeec', 'FCnt': '0000', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '0a', 'FRMPayload': '471d6eef496398d03a731b'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.7', 'Chan': '6', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '40ecae0b268000000a471d6eef496398d03a731b2d98ef2a', 'Time': '2021-09-05 11:39:25.10', 'DecryptedData': ''}"
28,"{'MTypeText': 'Downlink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '101', 'RFU': '000', 'Major': '00'}, 'MIC': '9ca24d7a', 'MACPayload': {'FHDR': {'DevAddr': '260baeec', 'FCnt': '0001', 'FOpts': '060351ff0001', 'FCtrl': {'ADR': '1', 'RFU': '0', 'ACK': '0', 'FPending': '1', 'FOptsLen': '0110'}}, 'FPort': '01', 'FRMPayload': '5640fe86'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.3', 'Chan': '4', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': 'a0ecae0b26960100060351ff0001015640fe869ca24d7a', 'Time': '2021-09-05 11:39:31.58', 'DecryptedData': ''}"
29,"{'MTypeText': 'Join-Request', 'PHYPayload': {'MHDR': {'MType': '000', 'RFU': '000', 'Major': '00'}, 'MIC': '8f38f5a7', 'JoinRequest': {'JoinEUI': '0001001080da7f64', 'DevEUI': 'ed3f000000da7f64', 'DevNonce': 'a428'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.1', 'Chan': '0', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '000001001080da7f64ed3f000000da7f64a4288f38f5a7', 'Time': '2021-09-05 11:39:48.10', 'DecryptedData': ''}"
30,"{'MTypeText': 'Join-Accept', 'PHYPayload': {'MHDR': {'MType': '001', 'RFU': '000', 'Major': '00'}, 'MIC': '94e77c9b', 'JoinAccept': {'JoinNonce': 'b95e42', 'Home_NetID': '07668c', 'DevAddr': '0e2ca409', 'DLSettings': {'OptNeg': '0', 'RX1DRoffset': '001', 'RX2Datarate': '1000'}, 'RxDelay': '3c', 'CFList': '8259b82a831c300c2506b220baf6246a'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.1', 'Chan': '0', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '20b95e4207668c0e2ca409183c8259b82a831c300c2506b220baf6246a94e77c9b', 'Time': '2021-09-05 11:39:54.92', 'DecryptedData': ''}"
